timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559583472101,3012,HTTP Request,200,OK,192.168.0.108-Thread Group 1-2,text,true,,57398,119,12,12,http://lifecharger.org/,2226,0,249
1559583474509,651,HTTP Request,500,Internal Server Error,192.168.0.107-Thread Group 1-12,text,false,,852,119,14,14,http://lifecharger.org/,651,0,244
1559583476598,689,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-17,text,false,,852,119,18,18,http://lifecharger.org/,689,0,235
1559583475987,1300,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-15,text,false,,852,119,18,18,http://lifecharger.org/,1300,0,237
1559583476294,993,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-16,text,false,,852,119,18,18,http://lifecharger.org/,993,0,231
1559583477230,570,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-19,text,false,,852,119,16,16,http://lifecharger.org/,570,0,241
1559583476894,1385,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-18,text,false,,852,119,17,17,http://lifecharger.org/,1385,0,230
1559583477532,771,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-20,text,false,,852,119,16,16,http://lifecharger.org/,770,0,239
1559583472395,6026,HTTP Request,200,OK,192.168.0.108-Thread Group 1-3,text,true,,57385,119,15,15,http://lifecharger.org/,5015,0,225
1559583471988,7064,HTTP Request,200,OK,192.168.0.108-Thread Group 1-1,text,true,,57392,119,17,17,http://lifecharger.org/,6339,0,256
1559583478129,1151,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-22,text,false,,852,119,16,16,http://lifecharger.org/,1151,0,249
1559583478727,568,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-24,text,false,,852,119,15,15,http://lifecharger.org/,567,0,224
1559583478428,876,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-23,text,false,,852,119,14,14,http://lifecharger.org/,876,0,255
1559583479328,585,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-26,text,false,,852,119,15,15,http://lifecharger.org/,585,0,239
1559583479049,1228,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-25,text,false,,852,119,16,16,http://lifecharger.org/,1228,0,238
